WDSTB03CD,WDSTB03NM,WDCAS03CD,WDCAS03NM,WDSTL03CD,WDSTL03NM
00ATGM,Hounslow Heath,00ATGM,Hounslow Heath,00ATGM,Hounslow Heath
00ATGN,Hounslow South,00ATGN,Hounslow South,00ATGN,Hounslow South
00ATGP,Hounslow West,00ATGP,Hounslow West,00ATGP,Hounslow West
00ATGQ,Isleworth,00ATGQ,Isleworth,00ATGQ,Isleworth
00ATGR,Osterley and Spring Grove,00ATGR,Osterley and Spring Grove,00ATGR,Osterley and Spring Grove
00ATGS,Syon,00ATGS,Syon,00ATGS,Syon
00ATGT,Turnham Green,00ATGT,Turnham Green,00ATGT,Turnham Green
00AUFX,Barnsbury,00AUFX,Barnsbury,00AUFX,Barnsbury
00AUFY,Bunhill,00AUFY,Bunhill,00AUFY,Bunhill
00AUFZ,Caledonian,00AUFZ,Caledonian,00AUFZ,Caledonian
00AUGA,Canonbury,00AUGA,Canonbury,00AUGA,Canonbury
00AUGB,Clerkenwell,00AUGB,Clerkenwell,00AUGB,Clerkenwell
00AUGC,Finsbury Park,00AUGC,Finsbury Park,00AUGC,Finsbury Park
00AUGD,Highbury East,00AUGD,Highbury East,00AUGD,Highbury East
00AUGE,Highbury West,00AUGE,Highbury West,00AUGE,Highbury West
00AUGF,Hillrise,00AUGF,Hillrise,00AUGF,Hillrise
00AUGG,Holloway,00AUGG,Holloway,00AUGG,Holloway
00AUGH,Junction,00AUGH,Junction,00AUGH,Junction
00AUGJ,Mildmay,00AUGJ,Mildmay,00AUGJ,Mildmay
00AUGK,St George's,00AUGK,St George's,00AUGK,St George's
00AUGL,St Mary's,00AUGL,St Mary's,00AUGL,St Mary's
00ADGD,Blendon and Penhill,00ADGD,Blendon and Penhill,00ADGD,Blendon and Penhill
00ADGE,Brampton,00ADGE,Brampton,00ADGE,Brampton
00ADGF,Christchurch,00ADGF,Christchurch,00ADGF,Christchurch
00ADGG,Colyers,00ADGG,Colyers,00ADGG,Colyers
00ADGH,Crayford,00ADGH,Crayford,00ADGH,Crayford
00ADGJ,Cray Meadows,00ADGJ,Cray Meadows,00ADGJ,Cray Meadows
00ADGK,Danson Park,00ADGK,Danson Park,00ADGK,Danson Park
00ADGL,East Wickham,00ADGL,East Wickham,00ADGL,East Wickham
00ADGM,Erith,00ADGM,Erith,00ADGM,Erith
00ADGN,Falconwood and Welling,00ADGN,Falconwood and Welling,00ADGN,Falconwood and Welling
00ADGP,Lesnes Abbey,00ADGP,Lesnes Abbey,00ADGP,Lesnes Abbey
00ADGQ,Longlands,00ADGQ,Longlands,00ADGQ,Longlands
00ADGR,North End,00ADGR,North End,00ADGR,North End
00ADGS,Northumberland Heath,00ADGS,Northumberland Heath,00ADGS,Northumberland Heath
00ADGT,St Mary's,00ADGT,St Mary's,00ADGT,St Mary's
00ADGU,St Michael's,00ADGU,St Michael's,00ADGU,St Michael's
00ADGW,Sidcup,00ADGW,Sidcup,00ADGW,Sidcup
00ADGX,Thamesmead East,00ADGX,Thamesmead East,00ADGX,Thamesmead East
00AEGJ,Alperton,00AEGJ,Alperton,00AEGJ,Alperton
00AEGK,Barnhill,00AEGK,Barnhill,00AEGK,Barnhill
00AEGL,Brondesbury Park,00AEGL,Brondesbury Park,00AEGL,Brondesbury Park
00AEGM,Dollis Hill,00AEGM,Dollis Hill,00AEGM,Dollis Hill
00AEGN,Dudden Hill,00AEGN,Dudden Hill,00AEGN,Dudden Hill
00AEGP,Fryent,00AEGP,Fryent,00AEGP,Fryent
00AEGQ,Harlesden,00AEGQ,Harlesden,00AEGQ,Harlesden
00AEGR,Kensal Green,00AEGR,Kensal Green,00AEGR,Kensal Green
00AEGS,Kenton,00AEGS,Kenton,00AEGS,Kenton
00AEGT,Kilburn,00AEGT,Kilburn,00AEGT,Kilburn
00AEGU,Mapesbury,00AEGU,Mapesbury,00AEGU,Mapesbury
00AEGW,Northwick Park,00AEGW,Northwick Park,00AEGW,Northwick Park
00AEGX,Preston,00AEGX,Preston,00AEGX,Preston
00AEGY,Queens Park,00AEGY,Queens Park,00AEGY,Queens Park
00AEGZ,Queensbury,00AEGZ,Queensbury,00AEGZ,Queensbury
00AXGM,Tolworth and Hook Rise,00AXGM,Tolworth and Hook Rise,00AXGM,Tolworth and Hook Rise
00AXGN,Tudor,00AXGN,Tudor,00AXGN,Tudor
00AYFZ,Bishop's,00AYFZ,Bishop's,00AYFZ,Bishop's
00AYGA,Brixton Hill,00AYGA,Brixton Hill,00AYGA,Brixton Hill
00AYGB,Clapham Common,00AYGB,Clapham Common,00AYGB,Clapham Common
00AYGC,Clapham Town,00AYGC,Clapham Town,00AYGC,Clapham Town
00AYGD,Coldharbour,00AYGD,Coldharbour,00AYGD,Coldharbour
00AYGE,Ferndale,00AYGE,Ferndale,00AYGE,Ferndale
00AYGF,Gipsy Hill,00AYGF,Gipsy Hill,00AYGF,Gipsy Hill
00AYGG,Herne Hill,00AYGG,Herne Hill,00AYGG,Herne Hill
00AYGH,Knight's Hill,00AYGH,Knight's Hill,00AYGH,Knight's Hill
00AYGJ,Larkhall,00AYGJ,Larkhall,00AYGJ,Larkhall
00AYGK,Oval,00AYGK,Oval,00AYGK,Oval
00AYGL,Prince's,00AYGL,Prince's,00AYGL,Prince's
00AYGM,St Leonard's,00AYGM,St Leonard's,00AYGM,St Leonard's
00AYGN,Stockwell,00AYGN,Stockwell,00AYGN,Stockwell
00AYGP,Streatham Hill,00AYGP,Streatham Hill,00AYGP,Streatham Hill
00AYGQ,Streatham South,00AYGQ,Streatham South,00AYGQ,Streatham South
00AYGR,Streatham Wells,00AYGR,Streatham Wells,00AYGR,Streatham Wells
00AYGS,Thornton,00AYGS,Thornton,00AYGS,Thornton
00AYGT,Thurlow Park,00AYGT,Thurlow Park,00AYGT,Thurlow Park
00AYGU,Tulse Hill,00AYGU,Tulse Hill,00AYGU,Tulse Hill
00AYGW,Vassall,00AYGW,Vassall,00AYGW,Vassall
00AZGD,Bellingham,00AZGD,Bellingham,00AZGD,Bellingham
00AZGE,Blackheath,00AZGE,Blackheath,00AZGE,Blackheath
00AZGF,Brockley,00AZGF,Brockley,00AZGF,Brockley
00AZGG,Catford South,00AZGG,Catford South,00AZGG,Catford South
00AZGH,Crofton Park,00AZGH,Crofton Park,00AZGH,Crofton Park
00AZGJ,Downham,00AZGJ,Downham,00AZGJ,Downham
00AZGK,Evelyn,00AZGK,Evelyn,00AZGK,Evelyn
00AZGL,Forest Hill,00AZGL,Forest Hill,00AZGL,Forest Hill
00AZGM,Grove Park,00AZGM,Grove Park,00AZGM,Grove Park
00AZGN,Ladywell,00AZGN,Ladywell,00AZGN,Ladywell
00AZGP,Lee Green,00AZGP,Lee Green,00AZGP,Lee Green
00AZGQ,Lewisham Central,00AZGQ,Lewisham Central,00AZGQ,Lewisham Central
00AZGR,New Cross,00AZGR,New Cross,00AZGR,New Cross
00AZGS,Perry Vale,00AZGS,Perry Vale,00AZGS,Perry Vale
00AZGT,Rushey Green,00AZGT,Rushey Green,00AZGT,Rushey Green
00AZGU,Sydenham,00AZGU,Sydenham,00AZGU,Sydenham
00AZGW,Telegraph Hill,00AZGW,Telegraph Hill,00AZGW,Telegraph Hill
00AZGX,Whitefoot,00AZGX,Whitefoot,00AZGX,Whitefoot
00BAFX,Abbey,00BAFX,Abbey,00BAFX,Abbey
00BAFY,Cannon Hill,00BAFY,Cannon Hill,00BAFY,Cannon Hill
00BAFZ,Colliers Wood,00BAFZ,Colliers Wood,00BAFZ,Colliers Wood
00BAGA,Cricket Green,00BAGA,Cricket Green,00BAGA,Cricket Green
00BAGB,Dundonald,00BAGB,Dundonald,00BAGB,Dundonald
00BAGC,Figge's Marsh,00BAGC,Figge's Marsh,00BAGC,Figge's Marsh
00BAGD,Graveney,00BAGD,Graveney,00BAGD,Graveney
00BAGE,Hillside,00BAGE,Hillside,00BAGE,Hillside
00BAGF,Lavender Fields,00BAGF,Lavender Fields,00BAGF,Lavender Fields
00BAGG,Longthornton,00BAGG,Longthornton,00BAGG,Longthornton
00BAGH,Lower Morden,00BAGH,Lower Morden,00BAGH,Lower Morden
00BAGJ,Merton Park,00BAGJ,Merton Park,00BAGJ,Merton Park
00BAGK,Pollards Hill,00BAGK,Pollards Hill,00BAGK,Pollards Hill
00BAGL,Ravensbury,00BAGL,Ravensbury,00BAGL,Ravensbury
00BAGM,Raynes Park,00BAGM,Raynes Park,00BAGM,Raynes Park
00BAGN,St Helier,00BAGN,St Helier,00BAGN,St Helier
00BAGP,Trinity,00BAGP,Trinity,00BAGP,Trinity
00BAGQ,Village,00BAGQ,Village,00BAGQ,Village
00BAGR,West Barnes,00BAGR,West Barnes,00BAGR,West Barnes
00BAGS,Wimbledon Park,00BAGS,Wimbledon Park,00BAGS,Wimbledon Park
00BBGB,Beckton,00BBGB,Beckton,00BBGB,Beckton
00BBGC,Boleyn,00BBGC,Boleyn,00BBGC,Boleyn
00BBGD,Canning Town North,00BBGD,Canning Town North,00BBGD,Canning Town North
00BBGE,Canning Town South,00BBGE,Canning Town South,00BBGE,Canning Town South
00BBGF,Custom House,00BBGF,Custom House,00BBGF,Custom House
00BBGG,East Ham Central,00BBGG,East Ham Central,00BBGG,East Ham Central
00BBGH,East Ham North,00BBGH,East Ham North,00BBGH,East Ham North
00BBGJ,East Ham South,00BBGJ,East Ham South,00BBGJ,East Ham South
00BBGK,Forest Gate North,00BBGK,Forest Gate North,00BBGK,Forest Gate North
00BBGL,Forest Gate South,00BBGL,Forest Gate South,00BBGL,Forest Gate South
00BBGM,Green Street East,00BBGM,Green Street East,00BBGM,Green Street East
00BBGN,Green Street West,00BBGN,Green Street West,00BBGN,Green Street West
00BBGP,Little Ilford,00BBGP,Little Ilford,00BBGP,Little Ilford
00BBGQ,Manor Park,00BBGQ,Manor Park,00BBGQ,Manor Park
00BBGR,Plaistow North,00BBGR,Plaistow North,00BBGR,Plaistow North
00BBGS,Plaistow South,00BBGS,Plaistow South,00BBGS,Plaistow South
00BBGT,Royal Docks,00BBGT,Royal Docks,00BBGT,Royal Docks
00BBGU,Stratford and New Town,00BBGU,Stratford and New Town,00BBGU,Stratford and New Town
00BBGW,Wall End,00BBGW,Wall End,00BBGW,Wall End
00BBGX,West Ham,00BBGX,West Ham,00BBGX,West Ham
00BCFY,Aldborough,00BCFY,Aldborough,00BCFY,Aldborough
00BCFZ,Barkingside,00BCFZ,Barkingside,00BCFZ,Barkingside
00BCGA,Bridge,00BCGA,Bridge,00BCGA,Bridge
00BCGB,Chadwell,00BCGB,Chadwell,00BCGB,Chadwell
00BCGC,Church End,00BCGC,Church End,00BCGC,Church End
00BCGD,Clayhall,00BCGD,Clayhall,00BCGD,Clayhall
00BCGE,Clementswood,00BCGE,Clementswood,00BCGE,Clementswood
00BCGF,Cranbrook,00BCGF,Cranbrook,00BCGF,Cranbrook
00BCGG,Fairlop,00BCGG,Fairlop,00BCGG,Fairlop
00BCGH,Fullwell,00BCGH,Fullwell,00BCGH,Fullwell
00BCGJ,Goodmayes,00BCGJ,Goodmayes,00BCGJ,Goodmayes
00BCGK,Hainault,00BCGK,Hainault,00BCGK,Hainault
00BCGL,Loxford,00BCGL,Loxford,00BCGL,Loxford
00BCGM,Mayfield,00BCGM,Mayfield,00BCGM,Mayfield
00BCGN,Monkhams,00BCGN,Monkhams,00BCGN,Monkhams
00BCGP,Newbury,00BCGP,Newbury,00BCGP,Newbury
00BCGQ,Roding,00BCGQ,Roding,00BCGQ,Roding
00BCGR,Seven Kings,00BCGR,Seven Kings,00BCGR,Seven Kings
00BCGS,Snaresbrook,00BCGS,Snaresbrook,00BCGS,Snaresbrook
00BCGT,Valentines,00BCGT,Valentines,00BCGT,Valentines
00BCGU,Wanstead,00BCGU,Wanstead,00BCGU,Wanstead
00BDFW,Barnes,00BDFW,Barnes,00BDFW,Barnes
00BDFX,East Sheen,00BDFX,East Sheen,00BDFX,East Sheen
00BDFY,Fulwell and Hampton Hill,00BDFY,Fulwell and Hampton Hill,00BDFY,Fulwell and Hampton Hill
00BDFZ,"Ham, Petersham and Richmond Riverside",00BDFZ,"Ham, Petersham and Richmond Riverside",00BDFZ,"Ham, Petersham and Richmond Riverside"
00BDGA,Hampton,00BDGA,Hampton,00BDGA,Hampton
00BDGB,Hampton North,00BDGB,Hampton North,00BDGB,Hampton North
00BDGC,Hampton Wick,00BDGC,Hampton Wick,00BDGC,Hampton Wick
00BDGD,Heathfield,00BDGD,Heathfield,00BDGD,Heathfield
00BDGE,Kew,00BDGE,Kew,00BDGE,Kew
00BDGF,Mortlake and Barnes Common,00BDGF,Mortlake and Barnes Common,00BDGF,Mortlake and Barnes Common
00BDGG,North Richmond,00BDGG,North Richmond,00BDGG,North Richmond
00BDGH,St Margarets and North Twickenham,00BDGH,St Margarets and North Twickenham,00BDGH,St Margarets and North Twickenham
00BDGJ,South Richmond,00BDGJ,South Richmond,00BDGJ,South Richmond
00BDGK,South Twickenham,00BDGK,South Twickenham,00BDGK,South Twickenham
00BDGL,Teddington,00BDGL,Teddington,00BDGL,Teddington
00BDGM,Twickenham Riverside,00BDGM,Twickenham Riverside,00BDGM,Twickenham Riverside
00BDGN,West Twickenham,00BDGN,West Twickenham,00BDGN,West Twickenham
00BDGP,Whitton,00BDGP,Whitton,00BDGP,Whitton
00BEGC,Brunswick Park,00BEGC,Brunswick Park,00BEGC,Brunswick Park
00BEGD,Camberwell Green,00BEGD,Camberwell Green,00BEGD,Camberwell Green
00BEGE,Cathedrals,00BEGE,Cathedrals,00BEGE,Cathedrals
00BEGF,Chaucer,00BEGF,Chaucer,00BEGF,Chaucer
00BEGG,College,00BEGG,College,00BEGG,College
00BEGH,East Dulwich,00BEGH,East Dulwich,00BEGH,East Dulwich
00BEGJ,East Walworth,00BEGJ,East Walworth,00BEGJ,East Walworth
00BEGK,Faraday,00BEGK,Faraday,00BEGK,Faraday
00BEGL,Grange,00BEGL,Grange,00BEGL,Grange
00BEGM,Livesey,00BEGM,Livesey,00BEGM,Livesey
00BEGN,Newington,00BEGN,Newington,00BEGN,Newington
00BEGP,Nunhead,00BEGP,Nunhead,00BEGP,Nunhead
00BEGQ,Peckham,00BEGQ,Peckham,00BEGQ,Peckham
00BEGR,Peckham Rye,00BEGR,Peckham Rye,00BEGR,Peckham Rye
00BEGS,Riverside,00BEGS,Riverside,00BEGS,Riverside
00BEGT,Rotherhithe,00BEGT,Rotherhithe,00BEGT,Rotherhithe
00BEGU,South Bermondsey,00BEGU,South Bermondsey,00BEGU,South Bermondsey
00BEGW,South Camberwell,00BEGW,South Camberwell,00BEGW,South Camberwell
00BEGX,Surrey Docks,00BEGX,Surrey Docks,00BEGX,Surrey Docks
00BEGY,The Lane,00BEGY,The Lane,00BEGY,The Lane
00BEGZ,Village,00BEGZ,Village,00BEGZ,Village
00BFGC,Beddington North,00BFGC,Beddington North,00BFGC,Beddington North
00BFGD,Beddington South,00BFGD,Beddington South,00BFGD,Beddington South
00BFGE,Belmont,00BFGE,Belmont,00BFGE,Belmont
00BFGF,Carshalton Central,00BFGF,Carshalton Central,00BFGF,Carshalton Central
00BFGG,Carshalton South and Clockhouse,00BFGG,Carshalton South and Clockhouse,00BFGG,Carshalton South and Clockhouse
00BFGH,Cheam,00BFGH,Cheam,00BFGH,Cheam
00BFGJ,Nonsuch,00BFGJ,Nonsuch,00BFGJ,Nonsuch
00BFGK,St Helier,00BFGK,St Helier,00BFGK,St Helier
00BFGL,Stonecot,00BFGL,Stonecot,00BFGL,Stonecot
00BFGM,Sutton Central,00BFGM,Sutton Central,00BFGM,Sutton Central
00BFGN,Sutton North,00BFGN,Sutton North,00BFGN,Sutton North
00BFGP,Sutton South,00BFGP,Sutton South,00BFGP,Sutton South
00BFGQ,Sutton West,00BFGQ,Sutton West,00BFGQ,Sutton West
00BFGR,The Wrythe,00BFGR,The Wrythe,00BFGR,The Wrythe
00BFGS,Wallington North,00BFGS,Wallington North,00BFGS,Wallington North
00BFGT,Wallington South,00BFGT,Wallington South,00BFGT,Wallington South
00BFGU,Wandle Valley,00BFGU,Wandle Valley,00BFGU,Wandle Valley
00BFGW,Worcester Park,00BFGW,Worcester Park,00BFGW,Worcester Park
00BGFW,Bethnal Green North,00BGFW,Bethnal Green North,00BGFW,Bethnal Green North
00BGFX,Bethnal Green South,00BGFX,Bethnal Green South,00BGFX,Bethnal Green South
00BGFY,Blackwall and Cubitt Town,00BGFY,Blackwall and Cubitt Town,00BGFY,Blackwall and Cubitt Town
00BGFZ,Bow East,00BGFZ,Bow East,00BGFZ,Bow East
00BGGA,Bow West,00BGGA,Bow West,00BGGA,Bow West
00BGGB,Bromley-by-Bow,00BGGB,Bromley-by-Bow,00BGGB,Bromley-by-Bow
00BGGC,East India and Lansbury,00BGGC,East India and Lansbury,00BGGC,East India and Lansbury
00BGGD,Limehouse,00BGGD,Limehouse,00BGGD,Limehouse
00BGGE,Mile End and Globe Town,00BGGE,Mile End and Globe Town,00BGGE,Mile End and Globe Town
00BGGF,Mile End East,00BGGF,Mile End East,00BGGF,Mile End East
00BGGG,Millwall,00BGGG,Millwall,00BGGG,Millwall
00BGGH,St Dunstan's and Stepney Green,00BGGH,St Dunstan's and Stepney Green,00BGGH,St Dunstan's and Stepney Green
00BGGJ,St Katharine's and Wapping,00BGGJ,St Katharine's and Wapping,00BGGJ,St Katharine's and Wapping
00BGGK,Shadwell,00BGGK,Shadwell,00BGGK,Shadwell
00BGGL,Spitalfields and Banglatown,00BGGL,Spitalfields and Banglatown,00BGGL,Spitalfields and Banglatown
00BGGM,Weavers,00BGGM,Weavers,00BGGM,Weavers
00BGGN,Whitechapel,00BGGN,Whitechapel,00BGGN,Whitechapel
00BHFX,Cann Hall,00BHFX,Cann Hall,00BHFX,Cann Hall
00BHFY,Cathall,00BHFY,Cathall,00BHFY,Cathall
00BHFZ,Chapel End,00BHFZ,Chapel End,00BHFZ,Chapel End
00BHGA,Chingford Green,00BHGA,Chingford Green,00BHGA,Chingford Green
00BHGB,Endlebury,00BHGB,Endlebury,00BHGB,Endlebury
00BHGC,Forest,00BHGC,Forest,00BHGC,Forest
00BHGD,Grove Green,00BHGD,Grove Green,00BHGD,Grove Green
00BHGE,Hale End and Highams Park,00BHGE,Hale End and Highams Park,00BHGE,Hale End and Highams Park
00BHGF,Hatch Lane,00BHGF,Hatch Lane,00BHGF,Hatch Lane
00BHGG,High Street,00BHGG,High Street,00BHGG,High Street
00BHGH,Higham Hill,00BHGH,Higham Hill,00BHGH,Higham Hill
00BHGJ,Hoe Street,00BHGJ,Hoe Street,00BHGJ,Hoe Street
00BHGK,Larkswood,00BHGK,Larkswood,00BHGK,Larkswood
00BHGL,Lea Bridge,00BHGL,Lea Bridge,00BHGL,Lea Bridge
00BHGM,Leyton,00BHGM,Leyton,00BHGM,Leyton
00BHGN,Leytonstone,00BHGN,Leytonstone,00BHGN,Leytonstone
00BHGP,Markhouse,00BHGP,Markhouse,00BHGP,Markhouse
00BHGQ,Valley,00BHGQ,Valley,00BHGQ,Valley
00BHGR,William Morris,00BHGR,William Morris,00BHGR,William Morris
00BHGS,Wood Street,00BHGS,Wood Street,00BHGS,Wood Street
00BJFZ,Balham,00BJFZ,Balham,00BJFZ,Balham
00BJGA,Bedford,00BJGA,Bedford,00BJGA,Bedford
00BJGB,Earlsfield,00BJGB,Earlsfield,00BJGB,Earlsfield
00BJGC,East Putney,00BJGC,East Putney,00BJGC,East Putney
00BJGD,Fairfield,00BJGD,Fairfield,00BJGD,Fairfield
00BJGE,Furzedown,00BJGE,Furzedown,00BJGE,Furzedown
00BJGF,Graveney,00BJGF,Graveney,00BJGF,Graveney
00BJGG,Latchmere,00BJGG,Latchmere,00BJGG,Latchmere
00BJGH,Nightingale,00BJGH,Nightingale,00BJGH,Nightingale
00BJGJ,Northcote,00BJGJ,Northcote,00BJGJ,Northcote
00BJGK,Queenstown,00BJGK,Queenstown,00BJGK,Queenstown
00BJGL,Roehampton,00BJGL,Roehampton,00BJGL,Roehampton
00BJGM,St Mary's Park,00BJGM,St Mary's Park,00BJGM,St Mary's Park
00BJGN,Shaftesbury,00BJGN,Shaftesbury,00BJGN,Shaftesbury
00BJGP,Southfields,00BJGP,Southfields,00BJGP,Southfields
00BJGQ,Thamesfield,00BJGQ,Thamesfield,00BJGQ,Thamesfield
00BJGR,Tooting,00BJGR,Tooting,00BJGR,Tooting
00BJGS,Wandsworth Common,00BJGS,Wandsworth Common,00BJGS,Wandsworth Common
00BJGT,West Hill,00BJGT,West Hill,00BJGT,West Hill
00BJGU,West Putney,00BJGU,West Putney,00BJGU,West Putney
00BKGA,Abbey Road,00BKGA,Abbey Road,00BKGA,Abbey Road
00BKGB,Bayswater,00BKGB,Bayswater,00BKGB,Bayswater
00BKGC,Bryanston and Dorset Square,00BKGC,Bryanston and Dorset Square,00BKGC,Bryanston and Dorset Square
00BKGD,Churchill,00BKGD,Churchill,00BKGD,Churchill
00BKGE,Church Street,00BKGE,Church Street,00BKGE,Church Street
00BKGF,Harrow Road,00BKGF,Harrow Road,00BKGF,Harrow Road
00BKGG,Hyde Park,00BKGG,Hyde Park,00BKGG,Hyde Park
00BKGH,Knightsbridge and Belgravia,00BKGH,Knightsbridge and Belgravia,00BKGH,Knightsbridge and Belgravia
00BKGJ,Lancaster Gate,00BKGJ,Lancaster Gate,00BKGJ,Lancaster Gate
00BKGK,Little Venice,00BKGK,Little Venice,00BKGK,Little Venice
00BKGL,Maida Vale,00BKGL,Maida Vale,00BKGL,Maida Vale
00BKGM,Marylebone High Street,00BKGM,Marylebone High Street,00BKGM,Marylebone High Street
00BKGN,Queen's Park,00BKGN,Queen's Park,00BKGN,Queen's Park
00BKGP,Regent's Park,00BKGP,Regent's Park,00BKGP,Regent's Park
00BKGQ,St James's,00BKGQ,St James's,00BKGQ,St James's
00BKGR,Tachbrook,00BKGR,Tachbrook,00BKGR,Tachbrook
00BKGS,Vincent Square,00BKGS,Vincent Square,00BKGS,Vincent Square
00BKGT,Warwick,00BKGT,Warwick,00BKGT,Warwick
00BKGU,Westbourne,00BKGU,Westbourne,00BKGU,Westbourne
00BKGW,West End,00BKGW,West End,00BKGW,West End
00BLFA,Astley Bridge,00BLFA,Astley Bridge,00BLFA,Astley Bridge
00BLFB,Blackrod,00BLFB,Blackrod,00BLFB,Blackrod
00BLFC,Bradshaw,00BLFC,Bradshaw,00BLFC,Bradshaw
00BLFD,Breightmet,00BLFD,Breightmet,00BLFD,Breightmet
00BLFE,Bromley Cross,00BLFE,Bromley Cross,00BLFE,Bromley Cross
00BLFF,Burnden,00BLFF,Burnden,00BLFF,Burnden
00BLFG,Central,00BLFG,Central,00BLFG,Central
00BLFH,Daubhill,00BLFH,Daubhill,00BLFH,Daubhill
00BLFJ,Deane-Cum-Heaton,00BLFJ,Deane-Cum-Heaton,00BLFJ,Deane-Cum-Heaton
00BLFK,Derby,00BLFK,Derby,00BLFK,Derby
00BLFL,Farnworth,00BLFL,Farnworth,00BLFL,Farnworth
00BLFM,Halliwell,00BLFM,Halliwell,00BLFM,Halliwell
00BLFN,Harper Green,00BLFN,Harper Green,00BLFN,Harper Green
00BLFP,Horwich,00BLFP,Horwich,00BLFP,Horwich
00BLFQ,Hulton Park,00BLFQ,Hulton Park,00BLFQ,Hulton Park
00BLFR,Kearsley,00BLFR,Kearsley,00BLFR,Kearsley
00BLFS,Little Lever,00BLFS,Little Lever,00BLFS,Little Lever
00BLFT,Smithills,00BLFT,Smithills,00BLFT,Smithills
00BLFU,Tonge,00BLFU,Tonge,00BLFU,Tonge
00BLFW,Westhoughton,00BLFW,Westhoughton,00BLFW,Westhoughton
00BMFA,Besses,00BMFA,Besses,00BMFA,Besses
00BMFB,Church,00BMFB,Church,00BMFB,Church
00BMFC,East,00BMFC,East,00BMFC,East
00BMFD,Elton,00BMFD,Elton,00BMFD,Elton
00BMFE,Holyrood,00BMFE,Holyrood,00BMFE,Holyrood
00BMFF,Moorside,00BMFF,Moorside,00BMFF,Moorside
00BMFG,Pilkington Park,00BMFG,Pilkington Park,00BMFG,Pilkington Park
00BMFH,Radcliffe Central,00BMFH,Radcliffe Central,00BMFH,Radcliffe Central
00BMFJ,Radcliffe North,00BMFJ,Radcliffe North,00BMFJ,Radcliffe North
00BMFK,Radcliffe South,00BMFK,Radcliffe South,00BMFK,Radcliffe South
00BMFL,Ramsbottom,00BMFL,Ramsbottom,00BMFL,Ramsbottom
00BMFM,Redvales,00BMFM,Redvales,00BMFM,Redvales
00BMFN,St. Mary's,00BMFN,St. Mary's,00BMFN,St. Mary's
00BMFP,Sedgley,00BMFP,Sedgley,00BMFP,Sedgley
00BMFQ,Tottington,00BMFQ,Tottington,00BMFQ,Tottington
00BMFR,Unsworth,00BMFR,Unsworth,00BMFR,Unsworth
00BNFA,Ardwick,00BNFA,Ardwick,00BNFA,Ardwick
00BNFB,Baguley,00BNFB,Baguley,00BNFB,Baguley
00BNFC,Barlow Moor,00BNFC,Barlow Moor,00BNFC,Barlow Moor
00BNFD,Benchill,00BNFD,Benchill,00BNFD,Benchill
00BNFE,Beswick and Clayton,00BNFE,Beswick and Clayton,00BNFE,Beswick and Clayton
00BNFF,Blackley,00BNFF,Blackley,00BNFF,Blackley
00BNFG,Bradford,00BNFG,Bradford,00BNFG,Bradford
00BNFH,Brooklands,00BNFH,Brooklands,00BNFH,Brooklands
00BNFJ,Burnage,00BNFJ,Burnage,00BNFJ,Burnage
00BNFK,Central,00BNFK,Central,00BNFK,Central
00BNFL,Charlestown,00BNFL,Charlestown,00BNFL,Charlestown
00BNFM,Cheetham,00BNFM,Cheetham,00BNFM,Cheetham
00BNFN,Chorlton,00BNFN,Chorlton,00BNFN,Chorlton
00BNFP,Crumpsall,00BNFP,Crumpsall,00BNFP,Crumpsall
00BNFQ,Didsbury,00BNFQ,Didsbury,00BNFQ,Didsbury
00BNFR,Fallowfield,00BNFR,Fallowfield,00BNFR,Fallowfield
00BNFS,Gorton North,00BNFS,Gorton North,00BNFS,Gorton North
00BNFT,Gorton South,00BNFT,Gorton South,00BNFT,Gorton South
00BNFU,Harpurhey,00BNFU,Harpurhey,00BNFU,Harpurhey
00BNFW,Hulme,00BNFW,Hulme,00BNFW,Hulme
00BNFX,Levenshulme,00BNFX,Levenshulme,00BNFX,Levenshulme
00BNFY,Lightbowne,00BNFY,Lightbowne,00BNFY,Lightbowne
00BNFZ,Longsight,00BNFZ,Longsight,00BNFZ,Longsight
00BNGA,Moss Side,00BNGA,Moss Side,00BNGA,Moss Side
00BNGB,Moston,00BNGB,Moston,00BNGB,Moston
00BNGC,Newton Heath,00BNGC,Newton Heath,00BNGC,Newton Heath
00BNGD,Northenden,00BNGD,Northenden,00BNGD,Northenden
00BNGE,Old Moat,00BNGE,Old Moat,00BNGE,Old Moat
00BNGF,Rusholme,00BNGF,Rusholme,00BNGF,Rusholme
00BNGG,Sharston,00BNGG,Sharston,00BNGG,Sharston
00BNGH,Whalley Range,00BNGH,Whalley Range,00BNGH,Whalley Range
00BNGJ,Withington,00BNGJ,Withington,00BNGJ,Withington
00BNGK,Woodhouse Park,00BNGK,Woodhouse Park,00BNGK,Woodhouse Park
00BPFA,Alexandra,00BPFA,Alexandra,00BPFA,Alexandra
00BPFB,Chadderton Central,00BPFB,Chadderton Central,00BPFB,Chadderton Central
00BPFC,Chadderton North,00BPFC,Chadderton North,00BPFC,Chadderton North
00BPFD,Chadderton South,00BPFD,Chadderton South,00BPFD,Chadderton South
00BPFE,Coldhurst,00BPFE,Coldhurst,00BPFE,Coldhurst
00BPFF,Crompton,00BPFF,Crompton,00BPFF,Crompton
00BPFG,Failsworth East,00BPFG,Failsworth East,00BPFG,Failsworth East
00BPFH,Failsworth West,00BPFH,Failsworth West,00BPFH,Failsworth West
